num_vertices	np_len	np_perc	np_nanos	np_heap_len	np_heap_perc	np_heap_nanos	heap_len	heap_perc	heap_nanos	heap_mc_len	heap_mc_perc	heap_mc_nanos	greedy_len	greedy_perc	greedy_nanos	
8	41306.262678	1.000000	6001000	41306.262678	1.000000	6001600	41306.262678	1.000000	0	41306.262678	1.000000	0	41631.762681	0.992181	0	
8	31798.548424	1.000000	6585800	31798.548424	1.000000	3605000	31798.548424	1.000000	0	31798.548424	1.000000	0	31798.548424	1.000000	0	
8	34418.034149	1.000000	6237200	34418.034149	1.000000	2561000	34418.034149	1.000000	0	34418.034149	1.000000	7700	34418.034149	1.000000	0	
8	41278.225674	1.000000	5691700	41278.225674	1.000000	4768100	41278.225674	1.000000	0	41278.225674	1.000000	0	41278.225674	1.000000	504400	
8	31469.026682	1.000000	5680900	31469.026682	1.000000	4150400	32169.064373	0.978239	0	32169.064373	0.978239	0	32169.064373	0.978239	503800	
8	39613.740286	1.000000	5726700	39613.740286	1.000000	2000600	39613.740286	1.000000	0	39613.740286	1.000000	0	39613.740286	1.000000	0	
8	37774.630171	1.000000	6001200	37774.630171	1.000000	5000700	39752.712418	0.950240	0	39752.712418	0.950240	0	39752.712418	0.950240	0	
8	36649.994027	1.000000	6002000	36649.994027	1.000000	4001500	36649.994027	1.000000	0	36649.994027	1.000000	0	36649.994027	1.000000	0	
8	36490.329711	1.000000	6000700	36490.329711	1.000000	5000700	36490.329711	1.000000	0	36490.329711	1.000000	0	36492.349505	0.999945	0	
8	33674.086646	1.000000	6001200	33674.086646	1.000000	5002000	35184.572003	0.957070	0	35184.572003	0.957070	0	36264.756715	0.928562	0	
8	34139.619505	1.000000	6000200	34139.619505	1.000000	4001500	34139.619505	1.000000	0	34139.619505	1.000000	0	34139.619505	1.000000	0	
8	32656.966452	1.000000	6001000	32656.966452	1.000000	3000800	32656.966452	1.000000	0	32656.966452	1.000000	0	32656.966452	1.000000	0	
8	37346.821501	1.000000	6001200	37346.821501	1.000000	4000600	37346.821501	1.000000	0	37346.821501	1.000000	0	37346.821501	1.000000	0	
8	43568.247072	1.000000	6002100	43568.247072	1.000000	5000300	46027.188581	0.946576	0	46027.188581	0.946576	0	46027.188581	0.946576	0	
8	41178.848971	1.000000	6001300	41178.848971	1.000000	4002200	41178.848971	1.000000	0	41178.848971	1.000000	0	41178.848971	1.000000	0	
