num_vertices	greedy_byedge_withupdates_len	greedy_byedge_withupdates_perc	greedy_byedge_withupdates_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_withupdates_len	greedy_withupdates_perc	greedy_withupdates_nanos	
200	122163.303097	1.000000	219050700	122453.756956	0.997628	998700	122163.303097	1.000000	11002600	126715.046612	0.964079	28006800	
200	120744.263277	1.000000	212101500	120947.793084	0.998317	946200	120744.263277	1.000000	12002500	121202.494043	0.996219	27005900	
200	116259.624762	1.000000	211056900	116263.598447	0.999966	1000300	116259.624762	1.000000	11002400	124027.287151	0.937371	27006000	
200	117747.948777	1.000000	158035900	117747.948777	1.000000	1000200	117747.948777	1.000000	9001600	120629.014400	0.976116	26006100	
200	121666.873029	1.000000	192612200	121666.873029	1.000000	1000200	121666.873029	1.000000	11002400	123981.826519	0.981328	24997000	
200	123723.841567	1.000000	168049600	123723.841567	1.000000	997200	123723.841567	1.000000	9001700	128397.801996	0.963598	27006100	
200	122972.845259	1.000000	257154500	122976.146610	0.999973	998400	122972.845259	1.000000	12001900	123985.555872	0.991832	26006900	
200	115323.982849	1.000000	207045600	115323.982849	1.000000	1000800	115323.982849	1.000000	13003000	116608.528942	0.988984	26005400	
200	121353.740319	1.000000	251056200	121353.740319	1.000000	1050200	121353.740319	1.000000	12953000	126108.664072	0.962295	30007300	
200	113234.910897	1.000000	198043900	113234.910897	1.000000	1035100	113234.910897	1.000000	9967300	117243.631907	0.965809	28006800	
200	119975.070481	1.000000	181082500	119975.070481	1.000000	959300	119975.070481	1.000000	9001400	122614.428134	0.978474	27006500	
200	118003.216230	1.000000	272061000	118198.501027	0.998348	1000400	118003.216230	1.000000	12539000	125267.818901	0.942007	33007400	
200	113949.095222	1.000000	143032800	113949.095222	1.000000	1000000	113949.095222	1.000000	8001400	119439.203568	0.954034	28006500	
200	122991.245714	1.000000	164037100	122991.245714	1.000000	999800	122991.245714	1.000000	9011600	127445.025237	0.965053	27005900	
200	114170.040977	1.000000	266050400	114170.040977	1.000000	1000000	114170.040977	1.000000	13003400	116193.858097	0.982582	29006200	
200	114445.455419	1.000000	262113400	114462.162683	0.999854	955000	114445.455419	1.000000	15556900	118282.642484	0.967559	33004800	
200	118806.175353	1.000000	152024500	118806.175353	1.000000	1000300	118806.175353	1.000000	9001900	123579.454363	0.961375	32007500	
200	114972.804929	1.000000	176048900	115442.191462	0.995934	1000100	114972.804929	1.000000	9002100	122455.653225	0.938893	27006000	
200	114759.764810	1.000000	242044200	115722.564529	0.991680	1000600	114759.764810	1.000000	12003100	116845.412485	0.982150	32006800	
200	118378.820427	1.000000	215047700	118378.820427	1.000000	1001000	118378.820427	1.000000	10001800	123816.987942	0.956079	25006100	
200	122390.992054	1.000000	206046900	122390.992054	1.000000	999700	122390.992054	1.000000	11002500	127112.857126	0.962853	26005400	
200	118093.572666	1.000000	211056900	119503.559102	0.988201	1031700	118093.572666	1.000000	10971100	121974.599421	0.968182	27006300	
200	117612.603661	1.000000	183040900	118380.094186	0.993517	1000300	117612.603661	1.000000	9002000	121818.566765	0.965474	27006000	
200	120835.744847	1.000000	219039100	120835.744847	1.000000	1000800	120835.744847	1.000000	11002100	120697.958146	1.001142	25005700	
200	116950.812632	1.000000	189046300	116950.812632	1.000000	1000800	116950.812632	1.000000	9001600	117940.063453	0.991612	26005800	
200	116365.613534	1.000000	225050500	116365.613534	1.000000	999900	116365.613534	1.000000	11002600	120268.826499	0.967546	26006100	
200	119246.616871	1.000000	176040000	119246.616871	1.000000	999600	119246.616871	1.000000	10002700	123886.979661	0.962544	25005300	
200	120517.226732	1.000000	255056900	120571.992436	0.999546	1000000	120517.226732	1.000000	13002900	121495.335520	0.991949	25006500	
200	116449.540482	1.000000	201572900	116449.540482	1.000000	1000700	116449.540482	1.000000	10002300	120908.572197	0.963121	25005300	
200	126940.615272	1.000000	183041700	126940.615272	1.000000	999500	126940.615272	1.000000	8002000	133364.507927	0.951832	28006300	
200	120747.645067	1.000000	191516100	120747.645067	1.000000	999700	120747.645067	1.000000	10001800	124581.727002	0.969224	26035300	
200	124136.513438	1.000000	228061000	124136.513438	1.000000	1000400	124136.513438	1.000000	12002400	132490.354007	0.936948	28006200	
200	117234.548856	1.000000	188042200	117234.548856	1.000000	1000600	117234.548856	1.000000	10001900	120991.856230	0.968946	27006300	
200	118255.018022	1.000000	189032800	119536.374740	0.989281	1000200	118255.018022	1.000000	10002500	121128.142243	0.976280	27005500	
200	123152.369907	1.000000	212048000	123152.369907	1.000000	1000400	123152.369907	1.000000	12004000	127400.740642	0.966653	28414100	
200	118162.578326	1.000000	262092100	118340.092019	0.998500	1043600	118162.578326	1.000000	12959800	122479.617140	0.964753	26006000	
200	119102.953848	1.000000	223575800	119102.953848	1.000000	1000500	119102.953848	1.000000	12003300	119821.541487	0.994003	25004700	
200	119780.449735	1.000000	206055900	119780.449735	1.000000	2000600	119780.449735	1.000000	14003000	122495.763104	0.977833	30006700	
200	116485.148438	1.000000	237043900	116485.148438	1.000000	1000600	116485.148438	1.000000	13002700	121031.485405	0.962437	25006200	
200	118171.148454	1.000000	217048600	118171.148454	1.000000	1000200	118171.148454	1.000000	11003000	122993.084141	0.960795	26005300	
200	118553.403046	1.000000	238115700	118553.403046	1.000000	1000300	118553.403046	1.000000	13003100	127218.452369	0.931888	27006100	
200	118638.514361	1.000000	208046400	118638.514361	1.000000	2001200	118638.514361	1.000000	10002000	120919.643239	0.981135	25005700	
200	117948.375417	1.000000	189041700	117972.384785	0.999796	1000500	117948.375417	1.000000	10002800	120973.960030	0.974990	26044100	
200	123444.380908	1.000000	215010000	123444.380908	1.000000	1001000	123444.380908	1.000000	11002300	125292.049852	0.985253	32006700	
200	118021.033344	1.000000	264102400	118021.033344	1.000000	1000700	118021.033344	1.000000	14041400	124069.088278	0.951253	25966800	
200	114728.040958	1.000000	170038200	114728.040958	1.000000	1000600	114728.040958	1.000000	9002400	117473.497522	0.976629	27010200	
200	118440.564145	1.000000	253460100	118826.395276	0.996753	1000300	118440.564145	1.000000	13002600	121698.190857	0.973232	26006700	
200	113047.337776	1.000000	212046500	113047.337776	1.000000	1000000	113047.337776	1.000000	12545300	113334.516711	0.997466	25005200	
200	118998.402355	1.000000	196044800	118998.402355	1.000000	999500	118998.402355	1.000000	10002200	122413.910007	0.972099	26005800	
200	114116.172608	1.000000	149033100	114116.172608	1.000000	1000500	114116.172608	1.000000	9002200	118187.854295	0.965549	27006600	
200	119903.837702	1.000000	189042100	120877.335446	0.991946	1001800	119903.837702	1.000000	10002200	123969.535174	0.967204	27005300	
200	120483.747354	1.000000	235051800	120710.987823	0.998117	1000200	120483.747354	1.000000	11002100	120125.356451	1.002983	25007300	
200	120006.258164	1.000000	265620900	120006.258164	1.000000	1000400	120006.258164	1.000000	13003500	123682.574436	0.970276	27005400	
200	118573.136462	1.000000	204046600	118573.136462	1.000000	999700	118573.136462	1.000000	11002700	121920.147109	0.972548	27005600	
200	120971.179801	1.000000	212046800	120971.179801	1.000000	1000400	120971.179801	1.000000	13003100	123554.528889	0.979091	26005600	
200	119679.222380	1.000000	249599200	119679.222380	1.000000	1000500	119679.222380	1.000000	13002800	124780.501874	0.959118	27006500	
200	119985.178456	1.000000	233052100	120693.817303	0.994129	1000300	119985.178456	1.000000	11001600	124428.989781	0.964286	27006500	
200	120371.486027	1.000000	208046600	120371.486027	1.000000	1000800	120371.486027	1.000000	10001800	121781.456103	0.988422	28005900	
200	115924.833302	1.000000	194043600	115991.755786	0.999423	1000400	115924.833302	1.000000	10002000	119699.304870	0.968467	26005900	
200	116959.100855	1.000000	225589600	116966.307845	0.999938	1000100	116959.100855	1.000000	12002800	120936.226976	0.967114	26005900	
200	115650.191478	1.000000	288064600	115681.774317	0.999727	1000200	115650.191478	1.000000	14004000	118669.671565	0.974556	26014700	
200	116403.970235	1.000000	208046700	116548.596066	0.998759	1000100	116403.970235	1.000000	10002500	122520.966375	0.950074	26005900	
200	118175.448226	1.000000	152037100	118175.448226	1.000000	988200	118175.448226	1.000000	9010900	122302.151850	0.966258	27006100	
200	120300.658977	1.000000	214038300	120300.658977	1.000000	1000000	120300.658977	1.000000	11030700	123129.211289	0.977028	26977700	
200	124385.979109	1.000000	198045200	124611.205625	0.998193	1000800	124385.979109	1.000000	10002200	127251.314624	0.977483	26005400	
200	118142.198569	1.000000	205045900	118142.198569	1.000000	1000100	118142.198569	1.000000	10002300	122307.752532	0.965942	26005800	
200	121815.064166	1.000000	161035700	121815.064166	1.000000	1000500	121815.064166	1.000000	10002300	124935.369698	0.975025	25005300	
200	119322.807215	1.000000	146033400	119322.807215	1.000000	0	119322.807215	1.000000	7001200	121154.920319	0.984878	25037300	
300	147940.405444	1.000000	782183300	147940.405444	1.000000	2000900	147940.405444	1.000000	27005600	152967.769680	0.967134	86019300	
