num_vertices	heap_mc_len	heap_mc_nanos	gready_len	gready_len_perc	greedy_nanos	
25	44975.415122	3370623800	45398.001510	0.990692	0
25	40226.592635	436160100	40226.592635	1.000000	0
25	39143.569720	194036900	40023.883581	0.978005	0
25	38430.862159	614043000	38879.736516	0.988455	0
25	40436.453593	624750800	40807.848678	0.990899	1000900
25	41870.692026	373696800	42682.798337	0.980973	0
25	42047.566413	482730300	42047.566413	1.000000	0
25	45815.022581	3707147400	46523.133415	0.984779	0
25	40532.699855	1198703200	42521.378375	0.953231	0
25	44598.719033	525178700	45475.736916	0.980715	0
25	38003.463914	9004600	38003.463914	1.000000	0
25	43800.736567	1106266500	46831.532865	0.935283	1001000
25	43444.929463	9001400	43444.929463	1.000000	0
25	39179.829413	34513500	39337.965240	0.995980	0
25	40013.475031	293020100	40013.475031	1.000000	0
25	39396.939290	22005500	41174.978175	0.956817	0
25	40570.933065	6889863400	42062.613539	0.964537	0
25	43189.097347	107035700	43281.034988	0.997876	0
25	44021.676826	642192300	44021.676826	1.000000	0
25	37512.922218	5170754500	37512.922218	1.000000	0
25	39822.589059	1041029900	41013.403715	0.970965	1000700
25	45879.353217	579921100	48719.595580	0.941702	0
25	39773.833975	14716042200	40856.977348	0.973489	0
25	41680.787242	54120900	41680.787242	1.000000	0
25	38740.531549	625143600	39746.216927	0.974697	0
25	43062.518527	120938800	45261.835881	0.951409	0
25	40855.884533	221792300	41372.581457	0.987511	0
28	45456.972529	5668642300	46963.997342	0.967911	0
28	45000.706413	5147890500	47359.312416	0.950198	0
28	47317.442017	1440957800	48512.997276	0.975356	0
28	44067.660085	30352445200	44633.264493	0.987328	0
28	43569.937517	6450274000	43569.937517	1.000000	1000800
28	38114.296921	7679745700	39963.527569	0.953727	0
28	45775.923897	4131586700	46908.739197	0.975851	1000200
28	41910.806354	6737294800	42338.471741	0.989899	0
28	45343.047906	362641000	47239.134854	0.959862	0
28	40568.368563	873369600	42579.648699	0.952764	0
28	40887.834015	118030500	40887.834015	1.000000	0
28	43901.493023	8030577300	44753.152264	0.980970	0
28	47315.153281	5534100300	48945.234606	0.966696	0
28	45422.362072	20269875600	47411.893714	0.958037	0
28	42452.451066	457945100	43148.522907	0.983868	0
28	42398.512507	248025600	42884.186424	0.988675	0
28	46965.102541	16327079100	48119.074850	0.976018	0
28	40064.916771	10086179800	40990.989952	0.977408	0
28	46352.497512	769080700	47478.593433	0.976282	0
28	44212.115135	3600958700	44807.274431	0.986717	0
28	45443.313809	18420774700	46830.195722	0.970385	0
