num_vertices	heap_mc_len	heap_mc_perc	heap_mc_nanos	heap_limited_len	heap_limited_perc	heap_limited_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_withupdates_len	greedy_withupdates_perc	greedy_withupdates_nanos	greedy_byedge_withupdates_len	greedy_byedge_withupdates_perc	greedy_byedge_withupdates_nanos	
12	34039.605051	1.000000	0	34449.589913	0.988099	0	34039.605051	1.000000	0	34039.605051	1.000000	0	34039.605051	1.000000	0	34039.605051	1.000000	0	
12	34039.605051	1.000000	0	34449.589913	0.988099	0	34039.605051	1.000000	0	34039.605051	1.000000	0	34039.605051	1.000000	0	34039.605051	1.000000	0	
12	34039.605051	1.000000	0	34449.589913	0.988099	0	34039.605051	1.000000	0	34039.605051	1.000000	0	34039.605051	1.000000	0	34039.605051	1.000000	0	
12	30223.946531	1.000000	0	30223.946531	1.000000	0	30223.946531	1.000000	0	30223.946531	1.000000	0	30223.946531	1.000000	0	30223.946531	1.000000	0	
12	30223.946531	1.000000	999800	30223.946531	1.000000	0	30223.946531	1.000000	0	30223.946531	1.000000	0	30223.946531	1.000000	0	30223.946531	1.000000	0	
12	30671.157050	1.000000	0	30671.157050	1.000000	0	30671.157050	1.000000	0	30671.157050	1.000000	0	30671.157050	1.000000	0	30671.157050	1.000000	0	
12	30671.157050	1.000000	0	30671.157050	1.000000	0	30671.157050	1.000000	0	30671.157050	1.000000	0	30671.157050	1.000000	0	30671.157050	1.000000	0	
12	30671.157050	1.000000	0	30671.157050	1.000000	0	30671.157050	1.000000	0	30671.157050	1.000000	0	30671.157050	1.000000	0	30671.157050	1.000000	0	
12	27270.525945	1.000000	0	27270.525945	1.000000	0	27270.525945	1.000000	0	27270.525945	1.000000	0	27270.525945	1.000000	0	27270.525945	1.000000	0	
12	27270.525945	1.000000	0	27270.525945	1.000000	0	27270.525945	1.000000	0	27270.525945	1.000000	0	27270.525945	1.000000	0	27270.525945	1.000000	0	
12	27270.525945	1.000000	0	27270.525945	1.000000	1000400	27270.525945	1.000000	0	27270.525945	1.000000	0	27270.525945	1.000000	0	27270.525945	1.000000	0	
12	30437.093815	1.000000	0	30437.093815	1.000000	0	30437.093815	1.000000	0	30437.093815	1.000000	0	30437.093815	1.000000	0	30437.093815	1.000000	0	
12	30437.093815	1.000000	0	30437.093815	1.000000	0	30437.093815	1.000000	0	30437.093815	1.000000	1000100	30437.093815	1.000000	0	30437.093815	1.000000	0	
13	25020.395572	1.000000	0	25461.148087	0.982689	0	25020.395572	1.000000	0	25020.395572	1.000000	0	25020.395572	1.000000	0	25020.395572	1.000000	0	
13	25020.395572	1.000000	0	25461.148087	0.982689	0	25020.395572	1.000000	0	25020.395572	1.000000	0	25020.395572	1.000000	0	25020.395572	1.000000	1000200	
13	28876.005268	1.000000	0	28876.005268	1.000000	0	28879.216707	0.999889	0	28879.216707	0.999889	0	28879.216707	0.999889	0	28879.216707	0.999889	0	
13	28876.005268	1.000000	0	28876.005268	1.000000	0	28879.216707	0.999889	1000700	28879.216707	0.999889	0	28879.216707	0.999889	0	28879.216707	0.999889	0	
13	30433.267795	1.000000	0	30433.267795	1.000000	0	30707.823729	0.991059	0	30707.823729	0.991059	0	30941.882606	0.983562	0	30707.823729	0.991059	0	
13	30433.267795	1.000000	0	30433.267795	1.000000	999600	30707.823729	0.991059	0	30707.823729	0.991059	0	30941.882606	0.983562	0	30707.823729	0.991059	0	
13	27419.610672	1.000000	0	27419.610672	1.000000	0	27419.610672	1.000000	0	27419.610672	1.000000	0	27419.610672	1.000000	0	27419.610672	1.000000	0	
13	27419.610672	1.000000	1000400	27419.610672	1.000000	0	27419.610672	1.000000	0	27419.610672	1.000000	0	27419.610672	1.000000	0	27419.610672	1.000000	0	
13	39211.644967	1.000000	1001500	39279.487646	0.998273	0	39211.644967	1.000000	0	39211.644967	1.000000	0	39211.644967	1.000000	0	39211.644967	1.000000	0	
