num_vertices	heap_mc_len	heap_mc_perc	heap_mc_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_withupdates_len	greedy_withupdates_perc	greedy_withupdates_nanos	greedy_byedge_withupdates_len	greedy_byedge_withupdates_perc	greedy_byedge_withupdates_nanos	
11	30376.588288	1.000000	0	30376.588288	1.000000	0	30376.588288	1.000000	0	30376.588288	1.000000	0	30376.588288	1.000000	0	
11	30376.588288	1.000000	0	30376.588288	1.000000	0	30376.588288	1.000000	1000800	30376.588288	1.000000	0	30376.588288	1.000000	0	
11	23740.890124	1.000000	0	23740.890124	1.000000	0	23740.890124	1.000000	0	23740.890124	1.000000	0	23740.890124	1.000000	0	
11	23740.890124	1.000000	0	23740.890124	1.000000	0	23740.890124	1.000000	0	23740.890124	1.000000	0	23740.890124	1.000000	0	
11	23740.890124	1.000000	0	23740.890124	1.000000	0	23740.890124	1.000000	0	23740.890124	1.000000	0	23740.890124	1.000000	0	
11	23740.890124	1.000000	0	23740.890124	1.000000	0	23740.890124	1.000000	0	23740.890124	1.000000	0	23740.890124	1.000000	0	
11	23740.890124	1.000000	0	23740.890124	1.000000	0	23740.890124	1.000000	999400	23740.890124	1.000000	0	23740.890124	1.000000	0	
11	34311.865807	1.000000	0	34311.865807	1.000000	0	34311.865807	1.000000	0	34311.865807	1.000000	0	34311.865807	1.000000	0	
11	34311.865807	1.000000	0	34311.865807	1.000000	0	34311.865807	1.000000	0	34311.865807	1.000000	0	34311.865807	1.000000	0	
11	34311.865807	1.000000	0	34311.865807	1.000000	0	34311.865807	1.000000	0	34311.865807	1.000000	0	34311.865807	1.000000	1001500	
11	27494.505260	1.000000	0	27494.505260	1.000000	0	27494.505260	1.000000	0	27494.505260	1.000000	0	27494.505260	1.000000	0	
11	27494.505260	1.000000	0	27494.505260	1.000000	0	27494.505260	1.000000	0	27494.505260	1.000000	0	27494.505260	1.000000	0	
11	27494.505260	1.000000	0	27494.505260	1.000000	0	27494.505260	1.000000	0	27494.505260	1.000000	0	27494.505260	1.000000	0	
11	27494.505260	1.000000	1000000	27494.505260	1.000000	0	27494.505260	1.000000	0	27494.505260	1.000000	0	27494.505260	1.000000	0	
11	36781.688832	1.000000	0	37382.758968	0.983921	0	37382.758968	0.983921	0	37382.758968	0.983921	0	37382.758968	0.983921	0	
11	36781.688832	1.000000	999000	37382.758968	0.983921	0	37382.758968	0.983921	0	37382.758968	0.983921	0	37382.758968	0.983921	0	
11	33472.006312	1.000000	0	33472.006312	1.000000	0	33472.006312	1.000000	0	33472.006312	1.000000	0	33472.006312	1.000000	0	
11	33472.006312	1.000000	0	33472.006312	1.000000	0	33472.006312	1.000000	0	33472.006312	1.000000	0	33472.006312	1.000000	0	
